Name Tag Score Industry
Keycorp KEY 36 "BNK Banks"
"Keysight Technologies In" KEYS NA NA
"Kraft Heinz" KHC 59 "FOA Food Products"
"Kimco Realty" KIM 64 "REI Equity Real Estate Investment Trusts (REITs)"
Kla KLAC 44 "TRA Transportation and Transportation Infrastructure"
"Kimberly Clark" KMB NA NA
"Kinder Morgan" KMI 54 "PIP Oil & Gas Storage & Transportation"
Carmax KMX 31 "RTS Retailing"
"Coca Cola" KO NA NA
Kroger KR 43 "FDR Food & Staples Retailing"
Loews L 17 "INS Insurance"
"Leidos Holdings" LDOS 41 "PRO Professional Services"
Lennar LEN 24 "HOM Homebuilding"
"Laboratory Crp of Amer Hldgs" LH NA NA
"L3harris Technologies" LHX 56 "ARO Aerospace & Defense"
Linde LIN NA NA
Lkq LKQ 28 "RTS Retailing"
"Eli Lilly &" LLY NA NA
"Lockheed Martin" LMT 65 "ARO Aerospace & Defense"
"Lincoln National" LNC 42 "INS Insurance"
"Alliant Energy" LNT 39 "ELC Electric Utilities"
"Lowe  Cos" LOW NA NA
"Lam Research" LRCX 57 "SEM Semiconductors & Semiconductor Equipment"
"Southwest Airlines" LUV 38 "AIR Airlines"
"Las Vegas Sands" LVS 68 "CNO Casinos & Gaming"
"Lamb Weston Holdings" LW 37 "FOA Food Products"
"Lyondellbasell Indu" LYB 55 "CHM Chemicals"
"Live Nation Entertainment In" LYV NA NA
Mastercard MA 59 "FBN Diversified Financial Services and Capital Markets"
"Mid America Apartment Comm" MAA NA NA
"Marriott International" MAR 36 "TRT Hotels, Resorts & Cruise Lines"
Masco MAS 33 "BLD Building Products"
Mcdonald MCD 31 "REX Restaurants & Leisure Facilities"
"Microchip Technology" MCHP 37 "SEM Semiconductors & Semiconductor Equipment"
Mckesson MCK 38 "HEA Health Care Providers & Services"
Moody MCO 70 "FBN Diversified Financial Services and Capital Markets"
"Mondelez International" MDLZ 63 "FOA Food Products"
Medtronic MDT 63 "MTC Health Care Equipment & Supplies"
Metlife MET 52 "INS Insurance"
"Meta Platforms  Class" META NA NA
"Mgm Resorts International" MGM 52 "CNO Casinos & Gaming"
"Mohawk Industries" MHK 38 "DHP Household Durables"
"Mccormick &  Non Vtg Shrs" MKC NA NA
"Marketaxess Holdings" MKTX 39 "FBN Diversified Financial Services and Capital Markets"
"Martin Marietta Materials" MLM 30 "COM Construction Materials"
"Marsh & Mclennan Cos" MMC NA NA
"3m  W/d" MMM NA NA
"Monster Beverage" MNST 25 "BVG Beverages"
"Altria Group" MO 43 "TOB Tobacco"
"Molina Healthcare" MOH 30 "HEA Health Care Providers & Services"
Mosaic MOS NA NA
