legalentityidentifier;obligorname
OL6FE7QD5EQ3DOYEO258;Southwestern Public Service Co.
LGJNMI9GH8XIDG5RCM61;Xcel Energy Inc.
5299009MXFL34SA71416;AEON Co. Ltd.
6113F6JQLWIUGTBN1L36;Computer Sciences Corp.
XCJQ23OWIJNLHN7RQC93;Urenco Ltd.
213800FSR9RNDUOTXO25;Telia Company AB
21380048U1WVXOMEPA24;TeliaSonera Finland Oyj
8156008DEC771409C487;Atlantia SpA
815600149448CEB9B230;Autostrade per I'Italia SpA
41BNNE1AFPNAZELZ6K07;Applied Materials Inc.
549300HFZIZDJWB7AK60;Auckland International Airport Ltd.
549300V6WCI7PG4YZJ06;AMP Capital Wholesale Office Fund
724500R5IP6TFKTNRU48;Stedin Holding N.V.
724500YXD2GHUYU76E05;Eneco N.V.
549300561UZND4C7B569;Thomson Reuters Corp.
2138002P5RNKC5W2JZ46;Tesco PLC
QNWEWQBS7HP85QHXQL92;Woolworths Group Ltd.
0XOOAY5P5J7Q734SEC89;Precision Castparts Corp.
549300OPROMBN0FGNC34;Scottish Hydro-Electric Power Distribution PLC
549300ECJZDA7203MK64;Scottish Hydro-Electric Transmission PLC
549300SR1GYYNBZQGX56;Southern Electric Power Distribution PLC
5493006V4P89O0OPVJ20;SSE Energy Supply Ltd.
54930063VLGV6NBD9631;SSE Generation Ltd.
549300KI75VYLLMSK856;SSE PLC
549300V9BHF8BRYT1J62;Welch Foods Inc.
FN7P4E7K9JOBORDEUX61;Boston Gas Co.
H5XIMROS3PFX9BNKY293;Colonial Gas Co.
IITLLQEWVF9O8A7S8169;KeySpan Corp.
549300XN8GZY5U5O1B96;Massachusetts Electric Co.
VAI0KZ806W8MCH0BCZ61;Narragansett Electric Co.
5XJXCCYG4SDKFJ5WLB02;National Grid Electricity Transmission PLC
5493002056RJYYXBDS37;National Grid Gas Holdings Limited
FPCHGTHKVH9ZWXS7S453;National Grid Gas PLC
6S9CGO00CJ130HPIHU97;National Grid Holdings One PLC
