lei;rics
529900ET3S8PSL3XSS71;NA
529900ASP3J9RJTQLI53;NA
300300TODMNSPUGC6H95;NA
529900IONZ7XPGBINC13;NA
549300Q7VSOW86QST494;NA
549300U5ODNGEYWKSW73;CENX.O
549300WSZGQGJQXRFU84;NA
213800TWB86O896DND08;NA
254900PNIMG4CPJH6R25;NA
549300KV4512VJVQLW38;NA
5493000D9NVNUTTASN97;WBSN.O^F13
969500TVFVKI682L1144;NA
549300VFZ8XJ9NUPU221;EL
549300OGXFI85N3YZZ51;SPNT.K
549300LZPNZIXQGZPZ48;SAIC.K
RX8AMP5HZ4FR91BLC094;NA
ZDNAWZWXIKMWI51R2A08;HOG
5299008F7LLV7TEYIT04;NA
549300HPU3BD8ZI0X358;REGI.O
254900TNNQC073KOJ554;NA
5493008U1LYGMQWO7N12;NA
254900RDFLCM12O8SK69;MER.PS
549300XIT2GJKMZC0O65;PRSP.K^E21
B8PTJH2P0AXSWSMP2136;SRCL.O
579100KKDKKHFCBKB005;BHIP.BA
254900VUZRGD5U73RE46;0992.HK
549300O0RYWP84ZQ6434;NA
254900N4SLUMW4XUYY11;0700.HK
213800DJV7WRJBE2II28;NA
5493004XEXOSZTL44R34;NA
254900PTY5ALGN8N1L56;NA
549300V3UCT773B1KR38;NA
549300VJFFSY2WDH3287;NA
5493007RYG4GXIKSQI18;NA
529900T2FE9GA6AWW345;NA
254900CDLU5OS06M6K24;1402.TW
213800AUWICF8C8Z8Q68;NA
549300CCL2BKJGMYXV60;BBL.BK
2534006SHLSAADNWJE34;RNFT.MM
549300O4WTC6DL4JIE57;PTV^K10
SQ95QG8SR5Q56LSNF682;ILMN.O
549300KS7QPLP1OHH543;NA
4469000001BRKPEJPJ07;NA
213800GKFIZBLASN3454;NA
969500VSI0Q11PB93327;CRAP.PA
549300WGKSV867C0JF48;0884.HK
391200UJUPLXP0EYUJ70;NA
HNIV162R5N6FK763OP61;NA
5299004SC2UKPT2F1V75;NA
549300QV4VOOIJGPPL66;NA
549300GRNBWY8HIICT41;HWC.O
54930001WYSBMHJC4N02;WLH^B19
529900KJQUVA973CS502;NA
RLUFFFFW4GRYU77BTS24;NA
529900QUPLU7LMTKUZ33;NA
529900GNB86RB7HRX793;CCAG.DE
213800BZ6VW56K2S6677;JSH.SI^D21
789000N4T113IGIO4U04;NA
213800BFE317FGSYMZ19;EXO.L^F17
529900TU299N4C6XKJ66;0845.HK
9884007ER46L6N7EI764;005930.KS
529900R5WX9N2OI2N910;6758.T
9695008ZRGYKYMV0NH30;NA
549300Z31KZXNP05U733;NA
5493008W785ZKQMVNG08;NA
549300W0Q0ZDXP0FKI37;NA
5493001Z3ZE83NGK8Y12;PRU.L
549300WF9251CT4Q9R56;MTI.TO^H95
529900WSDL80S6P1IS39;NA
213800WM98DMB8YX2R90;NA
NKNQHM6BLECKVOQP7O46;RSG
549300O45IUXEDS1VZ32;CNLPL.PK
529900H2Q7WMDKKIW109;NA
6CPEOKI6OYJ13Q6O7870;KR
5299005P8SNL48H20W08;NA
213800D26TAPVTCVWG40;NA
9695000XB6RXI5YFGS38;NA
213800QQR9T6HJRBZW22;NA
724500BICUQ0LF1AH770;NA
969500JP85BVSRJBQH97;NA
261700SS8OEHDOCOUJ33;NA
213800SEKTC7F87AAE76;NA
549300PVC7ZU5RSQHZ60;EXTN.K
2HKVXE7U4NF5B6UGSU72;SEP^L18
01J4SO3XTWZF4PP38209;NA
5493002Y01YAFV45F528;NA
HO0K6ZULL3QE6S6SFW60;LB.TO
549300A0NSXDTEQJAR30;NA
549300Y1O0HDEQ2ZYE95;PPO^H15
529900EH66KPWU1L3N23;NA
549300HKIUR46R1JK243;NA
549300KRZTPE6IXQYU97;NA
549300D37RE2C54DGD62;NA
5493000ZZ1837DS2SI43;NOMD.K
5299007I4FXQ3DWNYO94;NA
549300TP5NEG85CHPU59;NA
CHFI1W9CRTUML2W6UF52;NA
1CXZKMDN40884RF3K208;NA
894500Q6BG6ASTY4Y673;NA
LYOM0B2GCF1JWXK5ZG04;AGCO.K
549300ZVC5O0ATML6U61;MATW.O
54930002O8SZ8SGHJG16;CMPC.OQ^J04
549300UXY7CHHPCVGY46;IDTI.O^D19
253400MAWMM2E7FLBA26;NA
549300B8P6MUJ1YWTS08;CARR.PA
724500A1FNICHSDF2I11;NA
549300P5RGQ9REE51753;NA
549300S57IW01GFXJD98;NA
213800HLA58H1C9UHS43;NA
5493006TKFPYISY2DS54;REZI.K
213800TR7V9QN896AU56;VVO.L^G22
5299005A2ZEP6AP7KM81;VNAn.DE
PKVU22HMQQ0KHUAQDH05;NA
52990000AKKX75BMWB43;NA
254900L5U36F2IV48917;NA
529900ZA5USL8RSNOH78;NA
THY0BPDXBLI5JXAYNT93;NA
9695006S0DLX9E1R1142;NA
5299008K277FJCCC0J28;NA
529900ZL7CFMLNVHB562;NA
549300HJ236VGDN8U912;PMAM3.SA
549300MWIOC0W2Z2ZM36;NA
549300I84YUU6NX76Z21;NA
213800I67L6DPEZ2KG15;NA
95980020140005492220;NA
7437002V1LIWUOWB1R70;NA
5493004SE33MRLPB1W98;2768.T
984500985DEC92D98C87;SFTLq.L
529900UW365APUAEKJ47;NA
253400FNZEAS7RDTF920;NA
529900S333RWFYXPZ609;NA
549300H27NUKBFFQEE84;NA
3003009Q4IBFSDE24571;1378.HK
